stock_code,stock_abbr,report_period,report_year,operating_cf_cash_from_sales,operating_cf_net_amount,investing_cf_cash_from_investment_recovery,investing_cf_cash_for_investments,investing_cf_net_amount,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_ratio_of_net_cf,investing_cf_ratio_of_net_cf,financing_cf_ratio_of_net_cf
600080,金花股份,2022FY,2022,58576.03,5236.83,5000.0,107.5,22983.25,,,-711.2,275088728.97,235.7233,19.0369,83.5485,-2.5854
600080,金花股份,2023Q1,2023,,-3876.01,4385.04,3700.0,3936.61,9900.0,,9873.7,99342956.2,31.5309,-39.0165,39.6265,99.39
600080,金花股份,2023HY,2023,25780.03,-3439.13,,16600.0,7788.41,9900.0,9900.0,-555.45,37938239.13,-21.557,-90.6508,205.2917,-14.6409
600080,金花股份,2023Q3,2023,40935.38,-1194.93,,16600.0,-4851.47,17540.54,9900.0,6736.62,6902170.3,-87.38,-173.124,-702.8909,976.0149
600080,金花股份,2024Q1,2024,12058.88,-4921.28,,,-10078.28,20652.27,18535.31,-10674.62,-256741813.57,-358.4399,19.1682,39.2545,41.5773
600080,金花股份,2024HY,2024,27037.58,-2309.94,,,-17797.8,29823.49,25568.04,-11608.91,-317166483.92,,7.283,56.115,36.602
600080,金花股份,2024Q3,2024,41534.55,-75.87,,,-24629.12,29823.49,25568.04,-11606.52,-363115098.7,-5360.8829,0.2089,67.8273,31.9638
600080,金花股份,2025Q1,2025,,-12136.85,,21.28,-13257.47,13630.79,9139.51,3447.33,-219469944.51,14.5173,55.3007,60.4068,-15.7075
600080,金花股份,2024FY,2024,,1085.87,,,-19230.36,97152.56,93701.12,-10036.73,-281812189.28,-250.6259,-3.8532,68.2382,35.615
600080,金花股份,2025HY,2025,22712.56,-8093.34,,21.28,-9293.52,15215.88,15215.88,-2531.9,-199187643.01,37.1978,40.6318,46.6571,12.7112
600080,金花股份,2025Q3,2025,,-5772.13,,21.28,-5310.38,79713.33,76934.48,837.18,-102453210.95,71.7849,56.3392,51.8322,-8.1714
000999,华润三九,2023Q1,2023,,30116.69,19991.99,274.5,125222.16,76840.92,23839.38,52174.59,2074632727.57,458.4265,14.5166,60.3587,25.1488
000999,华润三九,2023Q3,2023,,305017.51,93637.86,106774.5,25679.48,329553.62,161006.14,45163.0,3764199183.85,664.6621,81.0312,6.822,11.998
000999,华润三九,2023HY,2023,189822.74,177192.48,36331.51,8274.5,85975.61,281231.44,71966.67,99538.56,3632772977.12,211.6694,48.7761,23.6667,27.4002
000999,华润三九,2024Q1,2024,,78657.82,85737.08,101601.68,-25070.34,12434.17,10575.26,-2633.37,508968059.36,-75.4671,154.5437,-49.2572,-5.1739
000999,华润三九,2024Q3,2024,1990001.95,320426.77,419216.64,571242.35,-208923.84,71140.43,98256.98,-193337.28,-818316153.13,-121.7394,-391.5684,255.3094,236.2623
000999,华润三九,2024HY,2024,1385627.22,236311.48,233689.54,396601.68,-191083.48,50140.01,50240.14,-151226.72,-1059708910.91,-129.1708,-222.9966,180.317,142.7059
000999,华润三九,2025Q1,2025,734222.79,97985.51,212237.97,246202.09,-183784.79,228202.53,14224.92,210537.5,1247488080.7,145.1014,78.5463,-147.3239,168.7692
000999,华润三九,2025Q3,2025,,292535.98,718912.05,757064.48,-536497.43,521166.34,253380.38,160481.91,-838704376.33,,-348.7951,639.6741,-191.345
000999,华润三九,2025HY,2025,1668886.89,286019.49,407355.97,476636.03,-552719.59,399264.39,90731.36,-151226.72,-1059708910.91,,-269.9038,521.5768,142.7059
